_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
41,0.26607,0.26048,0.276352,0.274806,0.283368,0.226523,0.231707,0.230644,0.237095,0.229371,0.848004,0.854814,0.853917,0.8512,0.855707,0.020354,0.020426,0.020619,0.020311,0.02056,0.018724,0.019222,0.019661,0.018938,0.01965
42,0.252427,0.279943,0.300027,0.290605,0.285118,0.228379,0.254371,0.249484,0.253447,0.256031,0.866362,0.854709,0.857397,0.854104,0.857832,0.02041,0.020048,0.020089,0.020088,0.019927,0.0191,0.019306,0.019238,0.019322,0.019011
43,0.241364,0.303243,0.302397,0.286581,0.299432,0.217912,0.250243,0.243646,0.227113,0.238539,0.853446,0.859773,0.85242,0.858506,0.860402,0.020776,0.020462,0.020509,0.020845,0.020824,0.019545,0.019598,0.019679,0.019887,0.020021
44,0.25453,0.292695,0.28975,0.299608,0.276363,0.226164,0.262635,0.240966,0.259006,0.251615,0.858216,0.853943,0.859732,0.854192,0.861231,0.020577,0.020017,0.02048,0.020154,0.020189,0.019463,0.018732,0.019546,0.019148,0.019358
45,0.280625,0.279739,0.286652,0.279851,0.275072,0.239012,0.236873,0.24196,0.24365,0.242559,0.864173,0.8621,0.856439,0.859385,0.85735,0.020545,0.020449,0.020549,0.020312,0.02064,0.019717,0.019405,0.019951,0.019345,0.020017
46,0.270017,0.277923,0.288303,0.282712,0.278719,0.223156,0.221839,0.221826,0.231405,0.222089,0.855526,0.854652,0.852836,0.853843,0.850109,0.020744,0.020712,0.020944,0.020529,0.020887,0.019167,0.019347,0.0199,0.019182,0.019965
47,0.281842,0.298006,0.288026,0.311516,0.277439,0.231167,0.260123,0.246041,0.254651,0.248793,0.863076,0.862884,0.861576,0.866022,0.861833,0.020598,0.019961,0.020506,0.019996,0.020392,0.019212,0.018634,0.019733,0.019006,0.019359
48,0.290447,0.283481,0.281359,0.292893,0.260769,0.229256,0.259284,0.25954,0.261414,0.257744,0.858635,0.862694,0.860168,0.857764,0.861932,0.020519,0.020134,0.020134,0.020066,0.020411,0.019389,0.019047,0.019342,0.018961,0.019724
49,0.289857,0.303998,0.297563,0.295273,0.28882,0.250259,0.254622,0.249489,0.273417,0.245479,0.863392,0.849869,0.850836,0.84812,0.852587,0.020163,0.020099,0.020295,0.019725,0.020232,0.018565,0.01903,0.01931,0.018763,0.019154
50,0.271736,0.278973,0.270895,0.263893,0.293808,0.230098,0.237731,0.248679,0.235692,0.244284,0.859095,0.852254,0.857802,0.856767,0.859565,0.020576,0.020684,0.020496,0.020783,0.02056,0.019485,0.01959,0.019591,0.019714,0.019772
51,0.27383,0.271388,0.280819,0.276539,0.267639,0.232061,0.235348,0.245556,0.234519,0.24197,0.866694,0.87551,0.874269,0.868842,0.872466,0.020437,0.020328,0.020178,0.020411,0.020341,0.019078,0.018911,0.019084,0.019286,0.019488
52,0.259883,0.298813,0.283246,0.271154,0.286011,0.243404,0.243789,0.251057,0.245719,0.255252,0.855284,0.855455,0.855597,0.85498,0.855382,0.0202,0.020413,0.020242,0.020403,0.020054,0.018588,0.019131,0.019257,0.019541,0.018869
53,0.270848,0.269014,0.267751,0.246867,0.278045,0.219535,0.210347,0.210439,0.210351,0.218728,0.857185,0.850688,0.855477,0.849572,0.852169,0.020627,0.021098,0.021017,0.021071,0.020818,0.018878,0.019857,0.020061,0.020373,0.019872
54,0.293951,0.29682,0.306644,0.288897,0.31361,0.231462,0.228839,0.247317,0.246276,0.249541,0.862791,0.844137,0.851216,0.846048,0.85309,0.020306,0.020392,0.020178,0.019989,0.020072,0.018553,0.019449,0.019156,0.019009,0.018734
55,0.268135,0.294639,0.259831,0.280013,0.252858,0.231579,0.227751,0.222064,0.222823,0.224664,0.852885,0.846341,0.853881,0.847341,0.853283,0.020618,0.020616,0.021006,0.020883,0.021045,0.019281,0.019799,0.020246,0.019718,0.019882
56,0.248264,0.271467,0.281047,0.290301,0.26406,0.228116,0.245826,0.233859,0.231096,0.234686,0.853455,0.855649,0.854512,0.852577,0.855885,0.020501,0.020441,0.02071,0.020585,0.02061,0.019231,0.019872,0.019937,0.019624,0.019643
57,0.260316,0.289816,0.276647,0.308147,0.264835,0.225976,0.229724,0.240224,0.238235,0.241036,0.863202,0.862145,0.857786,0.866593,0.861535,0.020555,0.020659,0.020415,0.020641,0.020386,0.019495,0.019574,0.019608,0.019589,0.019703
58,0.273799,0.278759,0.273799,0.260875,0.280352,0.246599,0.230352,0.240203,0.238555,0.24355,0.855087,0.858213,0.857952,0.858406,0.862476,0.020152,0.020384,0.020336,0.02038,0.020327,0.018682,0.019231,0.019267,0.019253,0.019416
59,0.252217,0.28667,0.279242,0.261752,0.288185,0.225496,0.233715,0.238871,0.225334,0.229682,0.855705,0.850021,0.846522,0.844764,0.849735,0.020602,0.02048,0.020489,0.020538,0.020743,0.018965,0.019551,0.019783,0.019564,0.019849
60,0.275014,0.299745,0.278522,0.296405,0.272955,0.233402,0.242407,0.243643,0.236311,0.237999,0.846622,0.850766,0.844483,0.841172,0.840804,0.020343,0.020105,0.020344,0.020206,0.020373,0.018768,0.01914,0.019667,0.019124,0.019617
61,0.290707,0.324492,0.289902,0.293806,0.294844,0.236114,0.253171,0.242946,0.24416,0.247347,0.85549,0.860245,0.860092,0.860138,0.860085,0.020475,0.020347,0.020574,0.020529,0.020453,0.019259,0.019531,0.019946,0.019534,0.019652
62,0.286892,0.289016,0.273088,0.298482,0.28117,0.223909,0.236658,0.240704,0.235087,0.233812,0.859138,0.860333,0.866507,0.864668,0.863786,0.020701,0.020335,0.020395,0.020493,0.020613,0.019438,0.01918,0.019688,0.019704,0.019757
63,0.263406,0.291596,0.288932,0.271001,0.292629,0.231266,0.241638,0.238417,0.237238,0.237451,0.863711,0.857655,0.851622,0.855351,0.859008,0.020366,0.020316,0.020307,0.020405,0.020406,0.018766,0.019431,0.019528,0.019438,0.019612
64,0.275801,0.304495,0.298523,0.289197,0.3019,0.257999,0.280861,0.283092,0.282414,0.28563,0.859975,0.86283,0.865774,0.863031,0.865801,0.019836,0.019544,0.019476,0.019496,0.019379,0.018726,0.01827,0.018543,0.018535,0.018549
65,0.295821,0.28571,0.249796,0.257815,0.258547,0.230184,0.241808,0.229222,0.236401,0.230354,0.858515,0.85771,0.86055,0.85756,0.861707,0.020269,0.020407,0.02064,0.020433,0.020521,0.018612,0.019497,0.019467,0.019341,0.019752
66,0.281682,0.328987,0.309854,0.328704,0.315809,0.247642,0.259876,0.271067,0.268927,0.269701,0.871829,0.860879,0.866796,0.859153,0.865955,0.020134,0.020014,0.020037,0.019858,0.019947,0.018885,0.019067,0.019255,0.01901,0.018846
67,0.268266,0.284608,0.274831,0.243279,0.257459,0.230338,0.243342,0.241347,0.234277,0.229725,0.870851,0.875088,0.872204,0.87075,0.870165,0.020585,0.020609,0.02062,0.020631,0.02088,0.018897,0.019552,0.020069,0.019896,0.020057
68,0.266408,0.263868,0.243366,0.262226,0.25727,0.233496,0.236202,0.228751,0.238901,0.224306,0.85848,0.857533,0.848398,0.861986,0.848463,0.020484,0.020447,0.020611,0.0205,0.020617,0.019579,0.019532,0.019828,0.01992,0.019967
69,0.256793,0.288449,0.27493,0.27896,0.27811,0.201344,0.226348,0.221212,0.22428,0.22596,0.854991,0.851179,0.859646,0.854355,0.855948,0.02109,0.02086,0.020922,0.020859,0.020795,0.019831,0.019985,0.020086,0.019982,0.019897
70,0.27695,0.267097,0.279883,0.275367,0.270831,0.244108,0.251161,0.249128,0.253464,0.254952,0.862489,0.853986,0.853802,0.854979,0.852604,0.020421,0.020349,0.020484,0.020195,0.020326,0.018858,0.01924,0.019559,0.019103,0.019597
71,0.277644,0.266864,0.284675,0.269806,0.256372,0.230945,0.22486,0.237831,0.228503,0.225786,0.863568,0.849497,0.851181,0.853436,0.853968,0.020449,0.020619,0.020464,0.020504,0.020718,0.019029,0.019501,0.019643,0.019313,0.019838
72,0.259041,0.260497,0.248649,0.282804,0.276724,0.22705,0.226936,0.233089,0.225792,0.234453,0.850046,0.855277,0.852131,0.853805,0.852704,0.02061,0.020628,0.020506,0.020616,0.020504,0.019217,0.019542,0.019633,0.019397,0.019467
73,0.293465,0.288877,0.291593,0.28237,0.295321,0.239128,0.24159,0.244461,0.246611,0.249122,0.858042,0.850591,0.857529,0.86141,0.85951,0.020506,0.020257,0.020354,0.020202,0.020137,0.01903,0.019024,0.019246,0.018995,0.019201
74,0.285446,0.258228,0.269414,0.295019,0.28639,0.234521,0.233368,0.238822,0.225454,0.246001,0.863504,0.860976,0.864517,0.859384,0.862654,0.020305,0.020591,0.020501,0.020567,0.020366,0.018877,0.019469,0.019604,0.019347,0.019621
75,0.257277,0.255634,0.273405,0.276636,0.283095,0.213042,0.209346,0.218738,0.225014,0.21711,0.855836,0.848991,0.852553,0.85436,0.853552,0.020804,0.020952,0.020934,0.020574,0.020956,0.01932,0.019767,0.020121,0.019256,0.0199
76,0.272008,0.295292,0.264375,0.312018,0.272873,0.234157,0.245827,0.23746,0.241632,0.227978,0.860806,0.856428,0.856033,0.856596,0.854606,0.020297,0.020369,0.020579,0.020552,0.020718,0.019168,0.019488,0.01981,0.019671,0.019935
77,0.304267,0.295664,0.291595,0.304108,0.28355,0.243627,0.251594,0.252144,0.256795,0.250375,0.862796,0.845533,0.847881,0.848006,0.852228,0.020274,0.019995,0.020219,0.020056,0.020227,0.018907,0.019171,0.019501,0.019093,0.019478
78,0.270322,0.302643,0.271317,0.301582,0.276371,0.236398,0.258555,0.247526,0.246883,0.239997,0.86127,0.851357,0.8567,0.856721,0.858958,0.020291,0.019866,0.020184,0.02014,0.02025,0.018812,0.018347,0.019254,0.018943,0.019199
79,0.263156,0.275408,0.26775,0.259586,0.262299,0.229993,0.225618,0.246116,0.2237,0.240109,0.857648,0.853406,0.863197,0.860991,0.862372,0.020335,0.020658,0.020204,0.020634,0.020382,0.018866,0.019628,0.019209,0.019397,0.019376
