DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
GES,1,LightGBM,m,F,0.05367871088386813,0.0366821938238912,0.6006321948725396,0.21691523591157033,0.34435029809250034
GES,1,LightGBM,m,OF,0.5008085664335665,0.4820763890748584,0.9135682029197529,0.016893323454305255,0.013779222441622213
GES,1,LightGBM,mw,F,0.05792221736051286,0.03707487844314538,0.6044618398739144,0.21671223206565982,0.34371437199717814
GES,1,LightGBM,mw,OF,0.5071152921997384,0.48264335382549994,0.9165218557719692,0.01680734711057881,0.0139576936760055
GES,1,LightGBM,m+mw,F,0.05220232380713323,0.03412997109537709,0.5898502870472048,0.201072752012381,0.3010551031289925
GES,1,LightGBM,m+mw,OF,0.4958855236952863,0.48668810608291696,0.9176127080328916,0.01688801727579621,0.01366862830377322
GES,2,Logit,original,O,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723
GES,2,Logit,m,F,0.060592971125042416,0.0592291013641536,0.7030760055234117,0.23746199655014183,0.45662252236918094
GES,2,Logit,m,OF,0.11756580003482316,0.12865011293539813,0.8472436961949773,0.1716408227935384,0.3339230647289419
GES,2,Logit,mw,F,0.06058672624492575,0.05978059873947287,0.703125241690988,0.23747947233600705,0.45667247775267417
GES,2,Logit,mw,OF,0.11788664943306752,0.1284239227568456,0.8473930214294674,0.17161708678609747,0.3339238161411654
GES,2,Logit,m+mw,F,0.06071493618310351,0.05996803024790137,0.703256021529574,0.23726862761656792,0.45595244797306156
GES,2,Logit,m+mw,OF,0.11839680794276668,0.12901688911607823,0.8467108638067362,0.17160902056788765,0.33372635601034617
GES,2,RandomForest,original,O,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729
GES,2,RandomForest,m,F,0.004878048780487805,0.05177642482010392,0.6681067738953571,0.02330333025164346,0.018469587011353247
GES,2,RandomForest,m,OF,0.3178731067636269,0.4730862543454988,0.9175035842058531,0.015600110129380954,0.005738521310944461
GES,2,RandomForest,mw,F,0.0,0.051126959912161166,0.6715635519649,0.02330627520080613,0.01865843238820883
GES,2,RandomForest,mw,OF,0.3166000632136913,0.48034634446011815,0.914015565191073,0.015551616204092747,0.005793335765547098
GES,2,RandomForest,m+mw,F,0.0047619047619047615,0.047629974190246095,0.6574471892925328,0.023765815477234418,0.020081375448146328
