,,,,AUPRC,AUPRC,AUPRC,AUROC,AUROC,AUROC,Brier,Brier,Brier,ECE,ECE,ECE,f1,f1,f1
Set,,,,F,O,OF,F,O,OF,F,O,OF,F,O,OF,F,O,OF
DAG,k,Model,Feature,,,,,,,,,,,,,,,
GES,7,Logit,mw,0.04845891744081371,,0.1279382365727831,0.7261643751123641,,0.8474988607583811,0.22246427398460372,,0.17131338546838787,0.42868727080395796,,0.33328234262451567,0.07799840053957288,,0.11817718689989934
GES,7,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,7,RandomForest,m,0.41307756776811155,,0.4788864010956527,0.9095577591894406,,0.9192632109568851,0.016396252850152816,,0.015377799369992548,0.006002139363347726,,0.004761288770050132,0.26689604837289443,,0.3514175992075152
GES,7,RandomForest,m+mw,0.41174581940182514,,0.4725436109501978,0.9038828904045619,,0.9149491079755316,0.01642391419514045,,0.015451721411406143,0.006204251715992462,,0.005173625517861453,0.2812506830775893,,0.34848030805173663
GES,7,RandomForest,mw,0.41329325472593015,,0.4779579208980265,0.9063832129981855,,0.9141994535158554,0.016431579759964263,,0.015416304443448218,0.005459063310086621,,0.0046070685196509115,0.2616646361021884,,0.34617193572473076
GES,7,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,7,XGBoost,m,0.44080992779657074,,0.5218477971674286,0.9191281048244532,,0.9251290409508697,0.0160518675563463,,0.014539210039631873,0.008762553741950995,,0.009720765805919445,0.3607793798072225,,0.4846055972794243
GES,7,XGBoost,m+mw,0.44659561529212166,,0.529024690134522,0.9152772769509416,,0.9268630158004807,0.016083652549327167,,0.014458926852418272,0.009647286320875758,,0.009584829530982587,0.3920605554359034,,0.4808588327863232
GES,7,XGBoost,mw,0.4367657768822085,,0.5230042996804727,0.9181307392541255,,0.9240495742078684,0.01610945163227137,,0.01451729908443582,0.009142016940120536,,0.009447645945710579,0.3754197252174173,,0.46938663878836795
GES,7,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,8,LightGBM,m,0.3940531801422221,,0.4912003668337667,0.9003552453482022,,0.9151192116528511,0.019709548156263124,,0.016986672630646717,0.016010680214228877,,0.014400066809194697,0.42811693934052836,,0.49539250075843383
