_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
38,0.062381,0.053236,0.035496,0.030684,0.048514,0.068406,0.068333,0.066665,0.064815,0.068009,0.670177,0.681303,0.687797,0.668489,0.673914,0.021862,0.021912,0.021961,0.021973,0.021927,0.019754,0.020171,0.020553,0.020306,0.020509
39,0.053028,0.044588,0.039616,0.029077,0.02742,0.063758,0.065064,0.057432,0.054394,0.062752,0.687167,0.695542,0.692873,0.682506,0.693247,0.021944,0.021985,0.022054,0.022058,0.022012,0.020106,0.020372,0.020688,0.020513,0.020767
40,0.023323,0.050997,0.016906,0.058505,0.021161,0.050469,0.055123,0.054579,0.057349,0.051863,0.672131,0.670695,0.677038,0.668096,0.670981,0.022034,0.022,0.02198,0.021953,0.02204,0.019849,0.020309,0.020428,0.020158,0.020611
41,0.045134,0.054155,0.031447,0.047828,0.022375,0.053164,0.063817,0.059149,0.057571,0.057745,0.681825,0.667758,0.676447,0.664415,0.675377,0.022039,0.021926,0.022068,0.022007,0.022028,0.02004,0.020238,0.020973,0.020226,0.020641
42,0.060794,0.064743,0.040434,0.046957,0.045111,0.06151,0.068776,0.06482,0.063467,0.062799,0.670316,0.667721,0.668154,0.674192,0.672013,0.021928,0.021867,0.021941,0.021891,0.021942,0.019791,0.020146,0.0206,0.020083,0.020542
43,0.032349,0.038248,0.01973,0.043148,0.028467,0.052832,0.061415,0.056138,0.06266,0.057579,0.700585,0.670818,0.686348,0.674507,0.678754,0.022037,0.021949,0.022086,0.021986,0.022055,0.020085,0.020143,0.020837,0.020471,0.020866
44,0.046717,0.036016,0.027691,0.041219,0.021101,0.056832,0.04748,0.049232,0.054285,0.053168,0.694825,0.661605,0.673758,0.658605,0.677126,0.021958,0.022096,0.022083,0.021989,0.022051,0.019911,0.020484,0.020836,0.020241,0.020592
45,0.048642,0.030418,0.024533,0.022383,0.03552,0.062619,0.055215,0.061426,0.053155,0.063029,0.689222,0.670197,0.685904,0.67759,0.684162,0.02194,0.022033,0.021995,0.022068,0.021984,0.019754,0.020326,0.020739,0.020279,0.020682
46,0.021601,0.040788,0.039874,0.028442,0.029284,0.056964,0.053639,0.063946,0.056993,0.064373,0.688664,0.668408,0.686868,0.665006,0.68993,0.022005,0.022042,0.021943,0.021977,0.021954,0.020091,0.020299,0.020579,0.020094,0.020526
47,0.049608,0.037414,0.027354,0.025909,0.039086,0.059655,0.057968,0.058503,0.052784,0.058015,0.694245,0.68938,0.693389,0.687341,0.6944,0.021989,0.021992,0.021987,0.022025,0.02199,0.019802,0.020166,0.020716,0.020324,0.020632
48,0.041707,0.027866,0.051136,0.033274,0.046713,0.062302,0.058401,0.061499,0.049971,0.062267,0.694644,0.684185,0.694035,0.669946,0.684066,0.021859,0.021979,0.021961,0.022014,0.021973,0.019758,0.020308,0.020729,0.02036,0.020677
49,0.037006,0.036843,0.023213,0.027342,0.027724,0.057591,0.053352,0.052737,0.052702,0.051759,0.680016,0.671187,0.678847,0.66606,0.671652,0.021926,0.021975,0.02201,0.021985,0.021997,0.019801,0.020224,0.020652,0.020161,0.020505
50,0.025278,0.055799,0.027564,0.045963,0.019561,0.05288,0.057315,0.057713,0.053234,0.051808,0.683237,0.691069,0.686331,0.679438,0.673126,0.022008,0.022042,0.022043,0.022056,0.02207,0.019905,0.020468,0.02069,0.020216,0.020702
51,0.046251,0.030997,0.050659,0.038886,0.038813,0.060278,0.05926,0.06201,0.061376,0.062457,0.698712,0.674485,0.679937,0.674747,0.678449,0.021945,0.02196,0.021989,0.021962,0.021974,0.019849,0.020209,0.020633,0.020238,0.020698
52,0.056857,0.031402,0.020319,0.023191,0.037309,0.063855,0.055537,0.051658,0.051969,0.056059,0.691722,0.669565,0.6731,0.667156,0.66903,0.021921,0.02197,0.022031,0.022,0.022024,0.01988,0.020195,0.020658,0.020358,0.020733
53,0.024967,0.029339,0.012177,0.026297,0.024364,0.047349,0.054833,0.049068,0.052139,0.051638,0.676423,0.688854,0.681476,0.683021,0.68844,0.022059,0.022006,0.022085,0.022017,0.022048,0.020091,0.020168,0.020694,0.020219,0.020735
54,0.07353,0.039674,0.050434,0.031738,0.040305,0.063786,0.057346,0.068317,0.057172,0.059321,0.689625,0.671177,0.682792,0.666196,0.680626,0.021853,0.021986,0.021897,0.022001,0.021976,0.019636,0.020293,0.020462,0.020355,0.020547
55,0.0401,0.026252,0.012766,0.034845,0.023843,0.05451,0.055255,0.053851,0.05074,0.059096,0.678995,0.671507,0.678056,0.662847,0.685255,0.022015,0.022014,0.022066,0.022023,0.022026,0.020043,0.020295,0.020846,0.020363,0.020683
56,0.050268,0.044573,0.035487,0.034899,0.019223,0.065029,0.065644,0.068156,0.065163,0.061849,0.672766,0.680951,0.692371,0.672166,0.681439,0.02186,0.021959,0.022013,0.021932,0.022032,0.019781,0.02035,0.020817,0.020254,0.020864
57,0.02894,0.00741,0.032032,0.020957,0.019853,0.060577,0.047877,0.052895,0.05443,0.05494,0.693418,0.675199,0.672122,0.681517,0.682133,0.021922,0.022078,0.021995,0.021998,0.022023,0.019935,0.02034,0.020492,0.020228,0.020603
58,0.049439,0.052441,0.048605,0.048521,0.037806,0.062636,0.069656,0.071327,0.062691,0.069116,0.689819,0.697601,0.698964,0.685287,0.689513,0.021996,0.021958,0.021897,0.021963,0.021972,0.020058,0.020376,0.020563,0.020202,0.020589
59,0.036882,0.029692,0.019352,0.026864,0.019469,0.053652,0.046754,0.050591,0.051126,0.048398,0.673868,0.667141,0.661946,0.667696,0.671699,0.021987,0.022095,0.022028,0.022043,0.022064,0.019706,0.0204,0.020624,0.020295,0.020695
60,0.063034,0.036868,0.039934,0.044357,0.04788,0.063039,0.058643,0.062527,0.054701,0.063947,0.685478,0.66321,0.68067,0.664014,0.684645,0.021891,0.021983,0.021947,0.022005,0.021979,0.019724,0.020602,0.020598,0.020254,0.020507
