dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
NOTEARS,1,Logit,F,m+mw,0.05893692376946689,0.03763764804115846,0.6499642049713021,0.23685061297691679,0.4459702316388022,0.243
NOTEARS,1,Logit,OF,m+mw,0.11547389073904439,0.13726144994321293,0.8512514178980977,0.17186775424213313,0.3339335316389539,0.633
NOTEARS,1,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,27.08
NOTEARS,1,RandomForest,F,m,0.062462072587962346,0.032337759964061005,0.5640407943901156,0.11125453850378275,0.17883234821323804,18.769
NOTEARS,1,RandomForest,OF,m,0.26821324637392474,0.4509596089821633,0.9169480511063612,0.015982506010584815,0.005082723404148894,27.001
NOTEARS,1,RandomForest,F,mw,0.06248887505378921,0.032341839160148975,0.564069088128984,0.11123706084730223,0.17884795619521673,17.711
NOTEARS,1,RandomForest,OF,mw,0.26821324637392474,0.4509596089821633,0.9169480511063612,0.015982506010584815,0.005082723404148894,18.821
NOTEARS,1,RandomForest,F,m+mw,0.06248887505378921,0.03234094948252712,0.564046511125275,0.1112419902362276,0.17884900687555982,15.547
NOTEARS,1,RandomForest,OF,m+mw,0.2675416259217633,0.44319136559846556,0.9088621390096525,0.016094629873259155,0.005561368692344341,18.918
NOTEARS,1,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,6.856
NOTEARS,1,XGBoost,F,m,0.0,0.03605800637021831,0.614847468916027,0.021714030854323513,0.0009553544234968681,4.77
NOTEARS,1,XGBoost,OF,m,0.44643574464433355,0.4904774752009776,0.9200574937298308,0.015028813418640836,0.008671931660280963,7.233
NOTEARS,1,XGBoost,F,mw,0.0,0.03605800637021831,0.614847468916027,0.021714030854323513,0.0009553544234968681,5.178
NOTEARS,1,XGBoost,OF,mw,0.44643574464433355,0.4904774752009776,0.9200574937298308,0.015028813418640836,0.008671931660280963,7.298
NOTEARS,1,XGBoost,F,m+mw,0.0,0.03605800637021831,0.614847468916027,0.021714030854323513,0.0009553544234968681,3.562
NOTEARS,1,XGBoost,OF,m+mw,0.45248274346188266,0.4862742646914415,0.9217120056273428,0.01509470878902541,0.008757730750527448,5.828
NOTEARS,1,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,23.977
NOTEARS,1,LightGBM,F,m,0.05405825516984741,0.031124360906640725,0.5894447566277636,0.21676123455148444,0.3422640941989634,23.638
NOTEARS,1,LightGBM,OF,m,0.4676255137051977,0.4457256958427428,0.9072301806428678,0.018226911398333257,0.015649066534768042,25.118
NOTEARS,1,LightGBM,F,mw,0.05405825516984741,0.031124360906640725,0.5894447566277636,0.21676123455148444,0.3422640941989634,24.032
NOTEARS,1,LightGBM,OF,mw,0.4676255137051977,0.4457256958427428,0.9072301806428678,0.018226911398333257,0.015649066534768042,25.963
NOTEARS,1,LightGBM,F,m+mw,0.05405825516984741,0.031124360906640725,0.5894447566277636,0.21676123455148444,0.3422640941989634,24.378
NOTEARS,1,LightGBM,OF,m+mw,0.46273522705588344,0.4503038784047425,0.9107094372533041,0.018239239213401082,0.015564239636898135,27.695
