_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
34,0.435067,0.323732,0.445888,0.314937,0.457122,0.405365,0.301165,0.439685,0.304674,0.429467,0.898953,0.880906,0.910055,0.881415,0.907584,0.016718,0.01892,0.016411,0.018914,0.016534,0.012617,0.013997,0.013483,0.014289,0.013932
35,0.42971,0.355615,0.428215,0.353081,0.446039,0.390545,0.319867,0.414343,0.314892,0.416622,0.901949,0.885351,0.913276,0.886412,0.912112,0.017203,0.018577,0.016938,0.018627,0.016914,0.01337,0.012994,0.013776,0.013673,0.014239
36,0.433696,0.300206,0.446188,0.311343,0.456681,0.403315,0.278937,0.424197,0.276702,0.422198,0.902799,0.891323,0.916391,0.890909,0.916525,0.016958,0.0196,0.016728,0.019575,0.016782,0.01326,0.015141,0.013843,0.015111,0.013991
37,0.395004,0.308279,0.427836,0.318378,0.42977,0.382175,0.283082,0.418473,0.286463,0.408685,0.902791,0.879611,0.909556,0.88244,0.908356,0.017449,0.019349,0.016847,0.019317,0.017018,0.013705,0.01476,0.013796,0.014746,0.014022
38,0.417999,0.321161,0.444697,0.329919,0.456423,0.394919,0.298,0.416076,0.300931,0.423085,0.90248,0.883949,0.911155,0.884095,0.911736,0.017116,0.018998,0.016882,0.018953,0.016684,0.012987,0.014513,0.013933,0.014015,0.013716
39,0.42849,0.327153,0.436275,0.341601,0.44012,0.400563,0.327144,0.428963,0.325351,0.432371,0.900996,0.891129,0.914536,0.890292,0.913124,0.016989,0.018261,0.016681,0.018291,0.016522,0.012681,0.012863,0.01391,0.013138,0.013405
40,0.444181,0.317421,0.442296,0.317833,0.440098,0.400084,0.289252,0.439153,0.293562,0.436102,0.904817,0.889331,0.917535,0.890005,0.916977,0.016888,0.019043,0.016398,0.019064,0.016481,0.012667,0.014328,0.013061,0.014921,0.013128
41,0.415037,0.335745,0.447742,0.32901,0.480063,0.403705,0.308682,0.432937,0.310159,0.431466,0.900521,0.887862,0.909203,0.885767,0.909624,0.016898,0.018839,0.016654,0.018863,0.016674,0.012614,0.013806,0.013547,0.013887,0.013758
42,0.419254,0.336353,0.445242,0.326074,0.434303,0.389173,0.316783,0.420497,0.318535,0.417583,0.897081,0.87868,0.904566,0.87829,0.903715,0.017322,0.018688,0.016866,0.018654,0.017009,0.013027,0.013745,0.013977,0.013997,0.014422
43,0.400194,0.3037,0.415323,0.317661,0.42732,0.38851,0.292796,0.413949,0.295825,0.410351,0.906551,0.888431,0.916151,0.884956,0.914348,0.017244,0.019238,0.017161,0.01928,0.017147,0.013348,0.014215,0.01436,0.014318,0.013836
44,0.431344,0.337581,0.447766,0.336143,0.441493,0.398817,0.302213,0.431323,0.302234,0.427098,0.900704,0.88905,0.911788,0.889706,0.912828,0.016926,0.018776,0.016601,0.018795,0.016656,0.013613,0.013717,0.013512,0.013886,0.01359
45,0.42312,0.314119,0.443665,0.303509,0.446455,0.38612,0.301471,0.4288,0.301635,0.434448,0.900965,0.888027,0.910916,0.887457,0.911915,0.017265,0.018975,0.016727,0.019062,0.016629,0.013306,0.014631,0.013374,0.014517,0.013104
46,0.399454,0.328858,0.444487,0.327478,0.441453,0.386198,0.304979,0.422476,0.298763,0.425955,0.90485,0.87732,0.913401,0.876533,0.912453,0.017375,0.018873,0.016794,0.018873,0.016774,0.013128,0.01378,0.013797,0.013698,0.013523
47,0.400199,0.352263,0.424036,0.349743,0.4477,0.381897,0.320078,0.426141,0.313432,0.420665,0.902624,0.894853,0.911468,0.89331,0.912581,0.017408,0.018476,0.016726,0.018549,0.016822,0.013585,0.013629,0.013853,0.013391,0.013816
48,0.426553,0.332656,0.434344,0.342486,0.433736,0.395246,0.321171,0.421669,0.324132,0.426214,0.899873,0.880113,0.908584,0.881745,0.91094,0.017161,0.018406,0.016916,0.018351,0.016792,0.013253,0.014203,0.013697,0.013666,0.01355
49,0.409714,0.357945,0.444125,0.352312,0.442312,0.395983,0.330253,0.432924,0.32326,0.428132,0.907039,0.882259,0.916215,0.882611,0.916021,0.017103,0.018322,0.016525,0.018393,0.016677,0.013365,0.013308,0.013444,0.013917,0.013408
50,0.443171,0.326837,0.446821,0.315435,0.451827,0.388524,0.303968,0.43236,0.298167,0.428947,0.900191,0.882814,0.908678,0.881256,0.909783,0.016915,0.018983,0.016403,0.019116,0.016465,0.012326,0.013335,0.012624,0.014006,0.013607
51,0.42115,0.33373,0.437519,0.342435,0.4443,0.394509,0.308149,0.410704,0.309106,0.417897,0.903237,0.88411,0.911519,0.882692,0.911561,0.016931,0.018664,0.016885,0.018621,0.016798,0.013142,0.013925,0.013792,0.013975,0.014211
52,0.42077,0.330494,0.436535,0.310812,0.450406,0.393279,0.298473,0.419605,0.301107,0.423122,0.904299,0.879552,0.91288,0.882207,0.912096,0.017174,0.019036,0.017027,0.018986,0.016883,0.012754,0.013883,0.013653,0.013531,0.013383
53,0.391511,0.32941,0.425507,0.330003,0.431859,0.391883,0.294508,0.412519,0.292393,0.412033,0.902575,0.88151,0.912838,0.882485,0.910614,0.017246,0.019079,0.016816,0.019077,0.016965,0.013205,0.014185,0.01368,0.01427,0.014326
54,0.417306,0.350255,0.47473,0.343706,0.472182,0.395524,0.289231,0.428535,0.29032,0.42802,0.899584,0.884721,0.910942,0.884075,0.909432,0.01702,0.019119,0.016582,0.019144,0.016619,0.012797,0.013881,0.013361,0.013816,0.01334
55,0.414216,0.322227,0.429446,0.331839,0.425717,0.400861,0.298712,0.431406,0.302118,0.425625,0.904026,0.877495,0.911223,0.877978,0.911413,0.017113,0.018928,0.0167,0.018873,0.016788,0.013012,0.01413,0.013759,0.013956,0.013689
56,0.409487,0.307472,0.428941,0.323275,0.426856,0.403419,0.313438,0.429899,0.314477,0.427994,0.907319,0.887052,0.917338,0.884927,0.916584,0.016956,0.018735,0.016664,0.01873,0.016671,0.012759,0.014047,0.013384,0.013858,0.013392
57,0.408723,0.308505,0.460877,0.298398,0.431258,0.395113,0.284193,0.42623,0.287068,0.422729,0.906393,0.881862,0.912247,0.880988,0.913789,0.017106,0.01928,0.016673,0.019241,0.016787,0.013089,0.014074,0.01364,0.014598,0.013978
58,0.421616,0.345505,0.439054,0.349592,0.450687,0.386428,0.299203,0.421116,0.300766,0.425256,0.89633,0.886256,0.911884,0.884899,0.908926,0.017232,0.018943,0.016847,0.018875,0.016804,0.013266,0.013826,0.013854,0.013891,0.013772
59,0.407887,0.331678,0.438926,0.3375,0.444001,0.39226,0.304059,0.41642,0.3041,0.422562,0.897818,0.885843,0.912805,0.885362,0.910135,0.017172,0.01892,0.016918,0.01891,0.016809,0.012859,0.014151,0.01403,0.013982,0.013862
60,0.413724,0.320124,0.447233,0.305673,0.451246,0.385226,0.294778,0.418048,0.290606,0.416712,0.904135,0.884602,0.914127,0.884132,0.915468,0.017296,0.019072,0.016852,0.019154,0.017034,0.013182,0.014312,0.013513,0.014483,0.014491
61,0.419934,0.315058,0.433568,0.303603,0.440748,0.388384,0.30178,0.418463,0.301173,0.42045,0.8977,0.8862,0.911951,0.88634,0.911292,0.017191,0.019142,0.016964,0.019146,0.016969,0.012867,0.014265,0.013692,0.014507,0.013826
62,0.406979,0.32924,0.426725,0.328071,0.443472,0.390169,0.297821,0.42115,0.293055,0.41929,0.902611,0.886234,0.914005,0.884505,0.91501,0.017051,0.019219,0.016973,0.019228,0.01699,0.013555,0.0152,0.014124,0.014894,0.014317
63,0.437024,0.36191,0.444559,0.354202,0.44356,0.392154,0.300907,0.423825,0.304796,0.427718,0.904101,0.890174,0.914783,0.888398,0.913599,0.017148,0.018846,0.01683,0.018777,0.016763,0.013322,0.013454,0.013853,0.013587,0.013949
64,0.422583,0.345306,0.45625,0.319481,0.443051,0.400157,0.308229,0.431196,0.305428,0.429247,0.898166,0.883269,0.911896,0.885529,0.907269,0.017054,0.01883,0.016501,0.018892,0.016583,0.013101,0.013746,0.01359,0.014364,0.013537
65,0.432756,0.315586,0.453385,0.321426,0.449725,0.397686,0.315181,0.431146,0.305974,0.432224,0.901142,0.879249,0.909965,0.875543,0.910666,0.01714,0.018725,0.016586,0.018917,0.016585,0.013347,0.013664,0.013452,0.014126,0.013188
