,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O
DAG,Model,Feature,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
GOLEM,FF MLP,original,0.2226,0.3801,0.9174,0.0925,0.1816,,,,,,,,,,,,,,,,,,,,
GOLEM,FF MLP,m,,,,,,0.2076,0.233,0.8971,0.098,0.1996,0.2153,0.3825,0.9147,0.0988,0.1933,-0.015,-0.1471,-0.0203,0.0055,0.018,-0.0073,0.0024,-0.0027,0.0063,0.0117
GOLEM,FF MLP,mw,,,,,,0.2095,0.248,0.8982,0.0948,0.1882,0.216,0.3614,0.912,0.0975,0.194,-0.0131,-0.1321,-0.0192,0.0023,0.0066,-0.0066,-0.0187,-0.0054,0.005,0.0124
GOLEM,LightGBM,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GOLEM,LightGBM,m,,,,,,0.354,0.39,0.9013,0.0433,0.0937,0.423,0.4465,0.9073,0.0317,0.0577,-0.0383,-0.0437,-0.0139,0.0013,-0.0015,0.0307,0.0128,-0.0079,-0.0103,-0.0375
GOLEM,LightGBM,mw,,,,,,0.3671,0.394,0.8998,0.0354,0.069,0.4067,0.4432,0.9086,0.0421,0.0939,-0.0252,-0.0397,-0.0154,-0.0066,-0.0262,0.0144,0.0095,-0.0066,1.00E-04,-0.0013
GOLEM,Logit,original,0.1406,0.1913,0.8816,0.1477,0.2809,,,,,,,,,,,,,,,,,,,,
GOLEM,Logit,m,,,,,,0.1106,0.0979,0.8208,0.1808,0.3333,0.1598,0.2471,0.9033,0.1284,0.2362,-0.03,-0.0934,-0.0608,0.0331,0.0524,0.0192,0.0558,0.0217,-0.0193,-0.0447
GOLEM,Logit,mw,,,,,,0.1106,0.0979,0.8208,0.1808,0.3333,0.1598,0.2472,0.9033,0.1284,0.2362,-0.03,-0.0934,-0.0608,0.0331,0.0524,0.0192,0.0559,0.0217,-0.0193,-0.0447
GOLEM,RF,original,0.3142,0.4543,0.9118,0.0159,0.0055,,,,,,,,,,,,,,,,,,,,
GOLEM,RF,m,,,,,,0.2192,0.3643,0.8961,0.0173,0.0052,0.3019,0.4362,0.9084,0.0161,0.0056,-0.095,-0.09,-0.0157,0.0014,-0.0003,-0.0123,-0.0181,-0.0034,0.0002,0.0001
GOLEM,RF,mw,,,,,,0.2322,0.3683,0.8934,0.0173,0.0056,0.3027,0.4395,0.9088,0.0161,0.0058,-0.082,-0.086,-0.0184,0.0014,0.0001,-0.0115,-0.0148,-0.003,0.0002,0.0003
GOLEM,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,,,,,,,,,,,
GOLEM,XGBoost,m,,,,,,0.3307,0.4001,0.904,0.0442,0.0932,0.3528,0.448,0.9144,0.0453,0.1125,-0.0244,-0.0407,-0.0057,-0.0151,-0.0523,-0.0023,0.0072,0.0047,-0.014,-0.033
GOLEM,XGBoost,mw,,,,,,0.3263,0.3903,0.9045,0.0466,0.1028,0.3583,0.4464,0.915,0.0473,0.1172,-0.0288,-0.0505,-0.0052,-0.0127,-0.0427,0.0032,0.0056,0.0053,-0.012,-0.0283
