_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
46,0.042256,0.021672,0.026532,0.021672,0.019164,0.054406,0.044276,0.055137,0.044276,0.053073,0.692999,0.652374,0.682387,0.652374,0.675536,0.02203,0.02213,0.022015,0.02213,0.022049,0.020036,0.020348,0.02062,0.020348,0.020566
47,0.061466,0.051688,0.036274,0.051688,0.035322,0.055791,0.061242,0.064001,0.061242,0.061786,0.686552,0.687721,0.695917,0.687721,0.689416,0.021989,0.021918,0.021961,0.021918,0.021956,0.019875,0.02006,0.020617,0.02006,0.020501
48,0.027812,0.029312,0.007558,0.029312,0.031211,0.054556,0.047349,0.051861,0.047349,0.054404,0.6883,0.668658,0.67465,0.668658,0.683986,0.021969,0.022044,0.022039,0.022044,0.022027,0.019787,0.020054,0.020618,0.020054,0.020605
49,0.058914,0.03669,0.038972,0.03669,0.041631,0.054634,0.053893,0.056596,0.053893,0.05371,0.687213,0.693378,0.69726,0.693378,0.69999,0.021957,0.021976,0.021999,0.021976,0.022013,0.019852,0.020067,0.020539,0.020067,0.020543
50,0.039114,0.022903,0.020009,0.022903,0.014905,0.050161,0.050276,0.052485,0.050276,0.050306,0.688857,0.680605,0.686133,0.680605,0.685952,0.022052,0.022024,0.022053,0.022024,0.022076,0.0202,0.020255,0.020669,0.020255,0.020712
51,0.014965,0.023988,0.027951,0.023988,0.031156,0.059339,0.05529,0.061398,0.05529,0.058667,0.695058,0.66119,0.680637,0.66119,0.683081,0.021972,0.021971,0.021969,0.021971,0.02201,0.019966,0.020232,0.020674,0.020232,0.020696
52,0.028328,0.033726,0.038815,0.033726,0.038374,0.058713,0.053519,0.058429,0.053519,0.056762,0.68119,0.663886,0.679069,0.663886,0.67765,0.021924,0.021984,0.022021,0.021984,0.022005,0.019826,0.020276,0.020644,0.020276,0.020575
53,0.023344,0.036209,0.016034,0.036209,0.034751,0.045935,0.04913,0.052409,0.04913,0.05819,0.679627,0.665489,0.67998,0.665489,0.678663,0.022117,0.022039,0.022083,0.022039,0.022009,0.020127,0.020196,0.020751,0.020196,0.020642
54,0.051473,0.01495,0.034296,0.01495,0.043324,0.058595,0.046437,0.056467,0.046437,0.055678,0.687163,0.660701,0.677132,0.660701,0.677618,0.021955,0.022088,0.022025,0.022088,0.022028,0.019704,0.020145,0.020528,0.020145,0.02061
55,0.034553,0.036079,0.024576,0.036079,0.019083,0.053923,0.050347,0.055484,0.050347,0.05724,0.677116,0.656743,0.668234,0.656743,0.677177,0.022007,0.02203,0.022042,0.02203,0.021999,0.019967,0.020226,0.020664,0.020226,0.020629
56,0.059921,0.042423,0.035144,0.042423,0.024107,0.058832,0.0575,0.063591,0.0575,0.059078,0.672153,0.683337,0.692299,0.683337,0.699737,0.02193,0.021998,0.021984,0.021998,0.022012,0.019808,0.020326,0.020708,0.020326,0.020704
57,0.028852,0.015531,0.031826,0.015531,0.032252,0.059331,0.056817,0.054671,0.056817,0.055791,0.691149,0.674129,0.68401,0.674129,0.681647,0.021939,0.021943,0.021987,0.021943,0.021983,0.019759,0.020127,0.020563,0.020127,0.020532
58,0.06732,0.035451,0.048174,0.035451,0.041008,0.065218,0.063454,0.066773,0.063454,0.061499,0.690059,0.694381,0.704607,0.694381,0.698452,0.021924,0.021984,0.022001,0.021984,0.022022,0.019827,0.020245,0.020747,0.020245,0.020647
59,0.04672,0.062023,0.042439,0.062023,0.042799,0.053045,0.065276,0.057655,0.065276,0.054037,0.669824,0.665989,0.672432,0.665989,0.666395,0.021931,0.021853,0.021981,0.021853,0.022029,0.01965,0.019931,0.020546,0.019931,0.020645
60,0.064877,0.028213,0.027856,0.028213,0.035556,0.062319,0.049081,0.05497,0.049081,0.05732,0.681079,0.680678,0.680308,0.680678,0.686593,0.021878,0.022095,0.022029,0.022095,0.022048,0.019687,0.020279,0.020692,0.020279,0.020728
61,0.051433,0.026795,0.020191,0.026795,0.026815,0.058409,0.049975,0.054095,0.049975,0.057096,0.690947,0.661226,0.691928,0.661226,0.68627,0.021892,0.022004,0.022026,0.022004,0.021981,0.019827,0.02017,0.020585,0.02017,0.020472
62,0.04374,0.025141,0.032307,0.025141,0.032528,0.058901,0.052047,0.053672,0.052047,0.05849,0.681035,0.674088,0.672367,0.674088,0.672411,0.021943,0.022056,0.022031,0.022056,0.022011,0.019943,0.020313,0.020615,0.020313,0.020648
63,0.059815,0.049888,0.039076,0.049888,0.043353,0.058121,0.05674,0.063741,0.05674,0.062502,0.670823,0.67475,0.669542,0.67475,0.665786,0.021948,0.021997,0.021946,0.021997,0.021935,0.019798,0.020252,0.020573,0.020252,0.020577
64,0.024788,0.038175,0.035567,0.038175,0.014425,0.052418,0.051278,0.05146,0.051278,0.050052,0.674818,0.656471,0.678792,0.656471,0.675064,0.022012,0.022008,0.022071,0.022008,0.022093,0.01996,0.020263,0.020666,0.020263,0.020612
65,0.059524,0.047208,0.051246,0.047208,0.03455,0.057823,0.056304,0.05611,0.056304,0.054688,0.673503,0.66004,0.671104,0.66004,0.67223,0.021939,0.022011,0.022006,0.022011,0.022056,0.019942,0.020229,0.02057,0.020229,0.020796
66,0.061449,0.007704,0.045008,0.007704,0.031294,0.059303,0.049885,0.056582,0.049885,0.055291,0.658527,0.665521,0.64883,0.665521,0.659188,0.021886,0.022006,0.021941,0.022006,0.021958,0.019588,0.020168,0.020411,0.020168,0.020428
67,0.049356,0.036951,0.034609,0.036951,0.030546,0.056993,0.050938,0.053827,0.050938,0.04902,0.687372,0.666767,0.673884,0.666767,0.670648,0.021991,0.022055,0.022017,0.022055,0.022092,0.019971,0.020494,0.020675,0.020494,0.020725
68,0.061762,0.014478,0.011672,0.014478,0.026489,0.063878,0.050158,0.05495,0.050158,0.054771,0.69484,0.662611,0.686642,0.662611,0.679598,0.021945,0.022029,0.022063,0.022029,0.022042,0.019875,0.020164,0.020739,0.020164,0.0206
69,0.067571,0.045962,0.049813,0.045962,0.0504,0.064357,0.059719,0.074334,0.059719,0.067696,0.678461,0.683845,0.684826,0.683845,0.682023,0.021854,0.021988,0.021866,0.021988,0.021934,0.019817,0.02019,0.020383,0.02019,0.020577
70,0.037928,0.019693,0.034458,0.019693,0.025118,0.054361,0.054264,0.057496,0.054264,0.055301,0.691211,0.676502,0.683229,0.676502,0.684843,0.021988,0.022026,0.022033,0.022026,0.022059,0.019922,0.020274,0.020633,0.020274,0.020661
71,0.048473,0.043347,0.048681,0.043347,0.042812,0.057071,0.054815,0.062565,0.054815,0.05576,0.680447,0.684455,0.681483,0.684455,0.680513,0.021914,0.022026,0.022014,0.022026,0.022027,0.019445,0.020161,0.020555,0.020161,0.020605
72,0.025098,0.018823,0.026719,0.018823,0.031114,0.056697,0.054648,0.057692,0.054648,0.065045,0.683697,0.686543,0.686604,0.686543,0.687072,0.022021,0.021994,0.022012,0.021994,0.021979,0.019989,0.020373,0.020667,0.020373,0.020571
73,0.049438,0.045243,0.027988,0.045243,0.057341,0.063068,0.061038,0.064289,0.061038,0.071439,0.688123,0.670468,0.68207,0.670468,0.68892,0.021941,0.021908,0.022023,0.021908,0.021962,0.019801,0.020021,0.020531,0.020021,0.020617
74,0.033843,0.014769,0.028012,0.014769,0.020823,0.053063,0.044994,0.052152,0.044994,0.048856,0.687852,0.667115,0.668953,0.667115,0.676669,0.022011,0.022083,0.022033,0.022083,0.022064,0.01996,0.020268,0.020612,0.020268,0.02052
75,0.02298,0.034034,0.027105,0.034034,0.011262,0.05328,0.049816,0.050989,0.049816,0.046992,0.68412,0.656148,0.678619,0.656148,0.67157,0.022026,0.022046,0.022068,0.022046,0.02209,0.020119,0.020306,0.020603,0.020306,0.020608
76,0.044586,0.019114,0.037375,0.019114,0.03608,0.05891,0.051008,0.053799,0.051008,0.054169,0.669319,0.678372,0.675417,0.678372,0.678544,0.021952,0.022078,0.021994,0.022078,0.021989,0.019872,0.020463,0.020629,0.020463,0.020654
