DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
GOLEM,2,Logit,m,OF,0.11602006268031291,0.1301067392301588,0.8488964056526445,0.17214513776824816,0.33440793098765037
GOLEM,2,Logit,mw,F,0.06656567039313159,0.04059921893741573,0.6720007664122502,0.23184576836851783,0.4363896460568378
GOLEM,2,Logit,mw,OF,0.11611566525596091,0.13041518079841324,0.8486347302145681,0.17208879013040085,0.3341787436571428
GOLEM,2,Logit,m+mw,F,0.06677634204698749,0.040191811027173376,0.6721101379898495,0.23196673159644074,0.4347994567886705
GOLEM,2,Logit,m+mw,OF,0.11593408944232883,0.13073739500717046,0.8488004821541262,0.17225862027067373,0.3344107407042339
GOLEM,2,RandomForest,original,O,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729
GOLEM,2,RandomForest,m,F,0.005,0.0391829136264856,0.6259545701205711,0.023565164001704428,0.020265681995240613
GOLEM,2,RandomForest,m,OF,0.30877393878398623,0.47760090093386065,0.9202566739002449,0.015528140800010757,0.005717517128662232
GOLEM,2,RandomForest,mw,F,0.005,0.03931973402874664,0.625495259650723,0.023622413249609533,0.020158291316684236
GOLEM,2,RandomForest,mw,OF,0.3247560165916156,0.47696519008214766,0.9147498506870944,0.015548306275736761,0.005140942723554209
GOLEM,2,RandomForest,m+mw,F,0.009545454545454546,0.03950285420957304,0.626327304066796,0.023938035286716737,0.021972737791099727
GOLEM,2,RandomForest,m+mw,OF,0.3373292070451369,0.4781038822996315,0.9148455188343767,0.015440808259335262,0.00531365694281359
GOLEM,2,XGBoost,original,O,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181
GOLEM,2,XGBoost,m,F,0.0,0.0558282557606832,0.6898275691217355,0.021705132912385662,0.0049610575107553855
GOLEM,2,XGBoost,m,OF,0.4689922778244524,0.5120559171522217,0.9265180381153085,0.014621746301701677,0.00933031278283734
GOLEM,2,XGBoost,mw,F,0.0,0.05603334744020945,0.6904048775581336,0.02170248953211245,0.004988469737739325
GOLEM,2,XGBoost,mw,OF,0.47739456314739187,0.5180571534710182,0.9269486606490622,0.014599601137306786,0.008704312945679167
GOLEM,2,XGBoost,m+mw,F,0.0,0.05645234586820634,0.6998484718487092,0.021921965908835873,0.007091241507392392
