Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
45,0.13986524479870574,0.326506411951629,0.06032285471537808,0.081,0.934,0.049,0.0279999999999999,0.175,0.05830330822142155,0.11416959172362831,0.032,0.004804815244300645,0.0075987841945288764,0
46,0.13632372816146948,0.32706657359783936,0.0540923251203625,0.074,0.933,0.039,0.026,0.179,0.061578774975434,0.09273970072048772,0.037,0.00398042317137671,0.006923336710570754,0
47,0.13898726435103434,0.3266423621884818,0.05635797224582268,0.078,0.934,0.034,0.0279999999999999,0.145,0.04978709466098919,0.08516534269351562,0.043,0.003357162899376988,0.007261060452549815,0
48,0.13761603646085094,0.3264093533486313,0.06428773718493341,0.095,0.933,0.054,0.031,0.2689999999999999,0.11791680314444808,0.14612968778865695,0.05,0.004546571944348569,0.008668242710795903,0
49,0.14581380895540058,0.3250352381575648,0.06853582554517133,0.1119999999999999,0.937,0.061,0.032,0.289,0.12512283000327548,0.16811380011084429,0.037,0.005199629520188914,0.01063829787234042,0
50,0.1404176819343192,0.32537731333927594,0.08411214953271028,0.145,0.934,0.046,0.044,0.1969999999999999,0.06452669505404517,0.10382412710142253,0.027,0.002882889146580387,0.013959248001801195,0
51,0.14752044510649212,0.3246344196215989,0.07335032568677428,0.135,0.937,0.09,0.033,0.144,0.04716672125777923,0.22667651949011644,0.025,0.0072059813121242745,0.012214342001576044,0
52,0.14816166678175774,0.3249175398633627,0.07165109034267912,0.113,0.938,0.096,0.027,0.204,0.08123157549950868,0.275817476445594,-0.049,0.009351387188649214,0.009456264775413713,0
53,0.1596050074480364,0.32373579504063055,0.06542056074766356,0.1169999999999999,0.942,0.113,0.02,0.153,0.05011464133639044,0.30482172547570663,-0.018,0.01479436135686989,0.009399977485083864,0
54,0.14934546064378657,0.324179194274246,0.06003964882469555,0.113,0.938,0.111,0.019,0.13,0.04258106780216181,0.2891187881027157,0.013,0.015084885069315978,0.008893391872115278,0
